transcription,file_name
"Régulation métabolique : La thyroxine joue un rôle essentiel dans la régulation du métabolisme basal, c'est-à-dire la quantité d'énergie que le corps dépense au repos. Une production accrue de thyroxine augmente le taux métabolique, tandis qu'une diminution entraîne une réduction du métabolisme.",train/recording_1_train.wav
"Développement et croissance : Chez les jeunes, la thyroxine est essentielle pour la croissance normale et le développement, en particulier pour le développement neurologique.",train/recording_2_train.wav
"Effets thermogéniques : La thyroxine contribue à la production de chaleur dans le corps, ce qui est particulièrement important pour maintenir la température corporelle.",train/recording_3_train.wav
"Synthèse protéique : La T4 stimule la synthèse protéique, favorisant ainsi la croissance et la maturation des tissus.",train/recording_4_train.wav
"Effets cardiovasculaires : La thyroxine augmente la fréquence cardiaque et la force de contraction, ce qui peut augmenter le débit cardiaque. Elle favorise également la vasodilatation, ce qui réduit la résistance périphérique.",train/recording_5_train.wav
"Système nerveux : La T4 influence la fonction du système nerveux central et périphérique, jouant un rôle dans la régulation de l'humeur et de la cognition.",train/recording_6_train.wav
Cette conversion est assurée par l'action des enzymes déiodinases.,train/recording_7_train.wav
"Mécanisme d'action : Comme toutes les hormones stéroïdiennes, la thyroxine exerce ses effets en se liant à des récepteurs spécifiques situés dans le noyau des cellules cibles. Une fois liée à son récepteur, la T4 (ou T3) régule l'expression de certains gènes, modifiant ainsi l'activité de la cellule.",train/recording_8_train.wav
"Les anomalies de la production ou de l'action de la thyroxine peuvent entraîner diverses pathologies. Une production insuffisante de T4 (et de T3) entraîne une hypothyroïdie, qui se manifeste par une fatigue, une prise de poids, une sensibilité au froid, une peau sèche, et d'autres symptômes. Inversement, une production excessive de ces hormones provoque une hyperthyroïdie, caractérisée par une perte de poids, une intolérance à la chaleur, des palpitations, une nervosité accrue, entre autres symptômes.",train/recording_9_train.wav
"La thyroxine, également connue sous le nom de T4 en raison de ses quatre atomes d'iode, est une des principales hormones produites par la glande thyroïde. La T4 est produite en plus grande quantité que la triiodothyronine (T3), bien que la T3 soit plus active sur le plan métabolique. Une fois produite, la T4 est libérée dans la circulation sanguine et est convertie en T3 (la forme active) dans les cellules cibles de divers tissus de l'organisme.",train/recording_10_train.wav
"Les troubles thyroïdiens sont des conditions qui affectent la glande thyroïde, un organe en forme de papillon situé à la base du cou. Ces troubles peuvent perturber la production normale des hormones thyroïdiennes, ce qui peut avoir des répercussions importantes sur de nombreuses fonctions métaboliques du corps.",train/recording_11_train.wav
Définition : Production excessive d'hormones thyroïdiennes.,train/recording_12_train.wav
"Symptômes : Perte de poids, palpitations, nervosité, transpiration excessive, intolérance à la chaleur, tremblements, augmentation du rythme cardiaque.",train/recording_13_train.wav
"Causes courantes : Maladie de Graves (une maladie auto-immune), nodules thyroïdiens toxiques, thyroïdite.",train/recording_14_train.wav
"Causes courantes : Thyroïdite de Hashimoto (une maladie auto-immune), traitement à l'iode radioactif, chirurgie thyroïdienne, certains médicaments.",train/recording_15_train.wav
Définition : Augmentation de la taille de la glande thyroïde.,train/recording_16_train.wav
"Causes : Carence en iode (surtout dans certaines parties du monde), inflammation, tumeurs, hyperthyroïdie ou hypothyroïdie.",train/recording_17_train.wav
Définition : Excroissances ou lésions de la glande thyroïde.,train/recording_18_train.wav
"Causes : Plusieurs types de nodules peuvent se former, et la plupart d'entre eux sont bénins. Cependant, un faible pourcentage peut être malin (cancer).",train/recording_19_train.wav
Définition : Inflammation de la glande thyroïde.,train/recording_20_train.wav
"Types courants : Thyroïdite de Hashimoto, thyroïdite post-partum, thyroïdite subaiguë.",train/recording_21_train.wav
Définition : Croissance maligne au sein de la glande thyroïde.,train/recording_22_train.wav
"Types courants : Carcinome papillaire, carcinome folliculaire, médullaire et anaplasique.",train/recording_23_train.wav
"Symptômes : Nodule au niveau du cou, douleur à la base du cou, modification de la voix, difficultés respiratoires ou à avaler, toux persistante.",train/recording_24_train.wav
Définition : Condition où les symptômes d'hyperthyroïdie coexistent avec une TSH élevée.,train/recording_25_train.wav
Causes : Généralement due à une résistance des tissus aux hormones thyroïdiennes.,train/recording_26_train.wav
Définition : Exacerbation soudaine et sévère des symptômes d'hyperthyroïdie.,train/recording_27_train.wav
"Symptômes : fièvre, confusion, agitation, jaunisse, nausées, vomissements, rythme cardiaque irrégulier et rapide, hypertension.",train/recording_28_train.wav
Ces troubles peuvent avoir des origines variées et des impacts très différents sur la santé. Il est essentiel de consulter un endocrinologue ou un médecin généraliste pour le diagnostic et le traitement approprié en cas de suspicion de trouble thyroïdien.,train/recording_29_train.wav
"La thyroïde produit 2 hormones qu'elle libère dans le flux sanguin : la triiodothyronine (aussi appelée T3) et la thyroxine (T4). Elles régulent bien des choses dans l'organisme, notamment la température et le poids corporels, la force musculaire, l'appétit, la respiration, la croissance, le système reproducteur ainsi que le fonctionnement de nos principaux organes. Lorsque ces hormones sont en quantité excessive ou insuffisante dans le sang, cela indique un trouble thyroïdien.",train/recording_30_train.wav
"La TSH est elle aussi une hormone (Thyroid Stimulating Hormone). Elle est le principal régulateur de la glande thyroïde et aide à garantir le bon équilibre des hormones thyroïdiennes dans notre sang. En sécrétant la TSH, l'hypophyse antérieure du cerveau régule les niveaux de T3 et T4 dans le sang. Si les taux sont trop faibles, elle libère plus de TSH, ordonnant ainsi à la thyroïde de produire plus d'hormones thyroïdiennes. Une fois le taux devenu suffisant, la production de TSH s'arrête sous l'effet d'un rétro-contrôle effectué par les hormones T3 et T4.
",train/recording_31_train.wav
"Les personnes souffrant d'insuffisance thyroïdienne peuvent avoir un taux trop élevé de TSH : cela vient du fait qu'il n'y a pas assez de T3 ou de T4 dans le sang pour indiquer au cerveau d'arrêter de produire de la TSH. C'est ce qu'on appelle l'hypothyroïdie.
Les personnes dont la thyroïde est hyperactive peuvent avoir trop de T3 et T4 dans le sang, ce qui freine la production de TSH au niveau du cerveau. C'est ce qu'on appelle l'hyperthyroïdie.",train/recording_32_train.wav
,train/recording_33_train.wav
"Quiconque présentant des symptômes d'hyper ou d'hypothyroïdie doit en parler à un médecin.
Les symptômes d'hypothyroïdie les plus courants sont les suivants :
fatigue, douleurs musculaires, faiblesse générale, prise de poids , fréquence cardiaque basse ;sensibilité au froid.
Les symptômes de l'hyperthyroïdie les plus courants sont les suivants :
sensibilité à la chaleur ; perte de poids ; anxiété ; irritabilité ; fréquence cardiaque inhabituellement élevée ;insomnies ;essoufflement.
Dans les deux cas, des troubles psychologiques, comme la dépression, peuvent également être présents. En cas de troubles de la fertilité, il convient également de demander un examen de la thyroïde.
Vous vous inquiétez pour la santé de votre thyroïde ? Prenez rendez-vous avec un médecin.
",train/recording_34_train.wav
"La thyréostimuline, souvent désignée par son acronyme TSH (pour ""Thyroid Stimulating Hormone"" en anglais), est une hormone produite par l'antéhypophyse (une partie de la glande pituitaire située à la base du cerveau). Elle joue un rôle central dans la régulation de la fonction thyroïdienne.
Voici quelques points clés à propos de la TSH :
Fonction principale : Comme son nom l'indique, la principale fonction de la TSH est de stimuler la glande thyroïde pour produire et libérer des hormones thyroïdiennes, principalement la thyroxine (T4) et, dans une moindre mesure, la triiodothyronine (T3).
Régulation par rétroaction négative : Le niveau de TSH est régulé par un mécanisme de rétroaction négative. Lorsque les niveaux d'hormones thyroïdiennes (T3 et T4) dans le sang sont bas, l'hypothalamus produit la thyrotropine-releasing hormone (TRH), qui à son tour stimule la glande pituitaire à produire plus de TSH. Cette augmentation de la TSH stimule la glande thyroïde à produire et à libérer davantage d'hormones thyroïdiennes. Inversement, lorsque les niveaux d'hormones thyroïdiennes sont élevés, la production de TSH est réduite.
Tests de diagnostic : Les tests sanguins mesurant les niveaux de TSH sont couramment utilisés pour évaluer la fonction thyroïdienne. Un niveau élevé de TSH suggère souvent une hypothyroïdie (où la glande thyroïde ne produit pas suffisamment d'hormones), tandis qu'un faible niveau de TSH peut indiquer une hyperthyroïdie (où la glande thyroïde produit trop d'hormones).
",train/recording_35_train.wav
"Pathologies associées :
Hypothyroïdie : C'est une affection où la glande thyroïde ne produit pas suffisamment d'hormones. Dans le cas d'une hypothyroïdie primaire (le problème réside dans la thyroïde elle-même), la TSH sera élevée.
Hyperthyroïdie : C'est le contraire de l'hypothyroïdie. Dans cette situation, la glande thyroïde produit un excès d'hormones, conduisant à des niveaux faibles de TSH dans le sang.
Tumeurs de la glande pituitaire : Bien qu'elles soient rares, certaines tumeurs peuvent entraîner une production excessive de TSH.
Traitement basé sur les niveaux de TSH : Pour les patients atteints d'hypothyroïdie, le traitement le plus courant est la lévothyroxine, une forme synthétique de T4. Le dosage est ajusté en fonction des niveaux de TSH pour s'assurer que la glande thyroïde fonctionne correctement.
La TSH est un indicateur précieux de la fonction thyroïdienne et est largement utilisée en médecine pour diagnostiquer et traiter les troubles de la thyroïde.
",train/recording_36_train.wav
"La TSH, ou thyréostimuline, est une hormone liée à la fonction thyroïdienne. Voici un champ lexical ou jargon autour de la TSH, des hormones thyroïdiennes et de la glande thyroïde:TSH (Thyréostimuline): Hormone produite par l'hypophyse qui stimule la glande thyroïde à produire et à libérer des hormones thyroïdiennes.
      Thyroïde: Une glande en forme de papillon située à la base du cou qui produit des hormones thyroïdiennes.
      T3 (Triiodothyronine): Une des principales hormones thyroïdiennes. Elle joue un rôle crucial dans la régulation du métabolisme.
      T4 (Thyroxine): Une autre principale hormone thyroïdienne. Elle est convertie en T3 dans les tissus périphériques.
      Hypophyse: Une glande située à la base du cerveau qui produit la TSH.
      ",train/recording_38_train.wav
